subject,predicate,object
ĐAU,HAS_SYMPTOM,COVID
VIÊM,HAS_SYMPTOM,DI CHỨNG
MÃN TÍNH,HAS_SYMPTOM,HUYẾT ÁP
BỆNH NỀN,HAS_SYMPTOM,RỐI LOẠN MIỄN DỊCH
TYPE 2,HAS_SYMPTOM,DỊ ỨNG
MÃN TÍNH,HAS_SYMPTOM,TỨC NGỰC
DỊ ỨNG,HAS_SYMPTOM,NGỨA
GOUT,HAS_SYMPTOM,COVID
HƠI Ố VÀNG,HAS_SYMPTOM,TRIỆU CHỨNG
LAO PHỔI,HAS_SYMPTOM,COVID
VIÊM HỌNG,HAS_SYMPTOM,SUY GIÃN TĨNH MẠCH
TAI BIẾN MẠCH MÁU NÃO,HAS_SYMPTOM,THOÁI HÓA CỘT SỐNG
GOUT,HAS_SYMPTOM,MÃN TÍNH
VIÊM MŨI DỊ ỨNG,HAS_SYMPTOM,COVID
VIÊM GAN B,HAS_SYMPTOM,DỊ ỨNG
SƯNG TẤY,HAS_SYMPTOM,TRIỆU CHỨNG
TRIỆU CHỨNG,HAS_SYMPTOM,THÈM ĂN
CƯỜNG GIÁP,HAS_SYMPTOM,COVID
BỆNH GÚT,HAS_SYMPTOM,THỞ KHÒ KHÈ
TRẦM CẢM,HAS_SYMPTOM,"ĐAU, NHỨC"
RỐI LOẠN,HAS_SYMPTOM,HOA MẮT
VIÊM GAN B,HAS_SYMPTOM,HUYẾT ÁP
DỊ ỨNG,HAS_SYMPTOM,SỐT
TAI BIẾN,HAS_SYMPTOM,TÊ LIỆT DÂY THẦN KINH
DỊ ỨNG,HAS_SYMPTOM,VIÊM ĐA KHỚP DẠNG THẤP
VIÊM ĐA KHỚP XƯƠNG,HAS_SYMPTOM,COVID
BỆNH VIÊM CỘT SỐNG DÍNH KHỚP,HAS_SYMPTOM,MÃN TÍNH
PHÙ NỀ,HAS_SYMPTOM,VIÊM HANG VỊ
LUPUS,HAS_SYMPTOM,THIẾU MÁU
VIÊM,HAS_SYMPTOM,COVID
BỊ BỆNH,HAS_SYMPTOM,VIÊM DA DẦU
ĐAU CỨNG,HAS_SYMPTOM,LAO
MÃN TÍNH,HAS_SYMPTOM,PARKINSON
NGỘ ĐỘC,HAS_SYMPTOM,COVID
VẾT THƯƠNG,HAS_SYMPTOM,MƯNG MỦ
BỊ BỆNH,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
TIỂU ĐƯỜNG,HAS_SYMPTOM,COVID
ĐAU,HAS_SYMPTOM,KHÓ THỞ
VẾT THƯƠNG,HAS_SYMPTOM,SƯNG TẤY
TRÀO NGƯỢC DẠ DÀY,HAS_SYMPTOM,MÃN TÍNH
TRIỆU CHỨNG,HAS_SYMPTOM,SỔ MŨI NƯỚC
BẨM SINH,HAS_SYMPTOM,COVID
SỐT,HAS_SYMPTOM,LAO
VIÊM GAN,HAS_SYMPTOM,SIÊU VI B
BIẾN CHỨNG,HAS_SYMPTOM,VIÊM KHỚP VẢY NẾN
GOUT,HAS_SYMPTOM,ĐAU
VIÊM GAN B,HAS_SYMPTOM,VIRURS
DI TRUYỀN,HAS_SYMPTOM,COVID
VIÊM MŨI,HAS_SYMPTOM,VIÊM GAN B
MÃN TÍNH,HAS_SYMPTOM,VIÊM GAN B
BỆNH LÝ NỀN,HAS_SYMPTOM,LAO PHỔI
VIRURS,HAS_SYMPTOM,COVID
MẮC BỆNH,HAS_SYMPTOM,HỘI CHỨNG WOLFF
DỊ DẠNG MẠCH MÁU NÃO,HAS_SYMPTOM,COVID
SIÊU VI B,HAS_SYMPTOM,THOÁI HÓA KHỚP
SIÊU VI B,HAS_SYMPTOM,DỊ ỨNG
VIÊM MŨI,HAS_SYMPTOM,MÃN TÍNH
VIÊM GAN B,HAS_SYMPTOM,MÃN TÍNH
HUYẾT ÁP,HAS_SYMPTOM,COVID
CAO HUYẾT ÁP,HAS_SYMPTOM,HỘI CHỨNG WOLFF
VIÊM ĐA KHỚP DẠNG THẤP,HAS_SYMPTOM,BIẾN CHỨNG
RỐI LOẠN TIỀN ĐÌNH,HAS_SYMPTOM,MÃN TÍNH
VIÊM GAN B,HAS_SYMPTOM,COVID
BỊ BỆNH,HAS_SYMPTOM,CHÀM DA
BỊ BỆNH,HAS_SYMPTOM,VIÊM MŨI DỊ ỨNG
BỊ BỆNH,HAS_SYMPTOM,HEN
BỊ BỆNH,HAS_SYMPTOM,NỔI MÀY ĐAY
MỠ MÁU,HAS_SYMPTOM,COVID
NỔI,HAS_SYMPTOM,SỐT XUẤT HUYẾT
TRĨ,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,MỤN ẨN
NẶNG MÙI,HAS_SYMPTOM,TRIỆU CHỨNG
BỆNH LÝ NỀN,HAS_SYMPTOM,TIỂU ĐƯỜNG
HEN,HAS_SYMPTOM,SUYỄN
RỐI LOẠN LIPID MÁU,HAS_SYMPTOM,TRÀO NGƯỢC DẠ DÀY
NỔI MỀ ĐAY,HAS_SYMPTOM,COVID
BỆNH NỀN,HAS_SYMPTOM,THIẾU MÁU NÃO
MỌC HẠCH,HAS_SYMPTOM,LAO
VIÊM GAN B,HAS_SYMPTOM,CAO HUYẾT ÁP
TRIỆU CHỨNG,HAS_SYMPTOM,ĐAU
TRIỆU CHỨNG,HAS_SYMPTOM,HẮT HƠI
MÃN TÍNH,HAS_SYMPTOM,ĐÁI THÁO ĐƯỜNG
VIÊM MŨI DỊ ỨNG,HAS_SYMPTOM,HEN
ĐAU,HAS_SYMPTOM,AMIDAN
DỊ ỨNG,HAS_SYMPTOM,ĐAU ĐẦU
LAO PHỔI,HAS_SYMPTOM,BỆNH NỀN
MÃN TÍNH,HAS_SYMPTOM,ĐAU LƯNG
BỆNH GÚT,HAS_SYMPTOM,VIÊM PHẾ QUẢN
CAO HUYẾT ÁP,HAS_SYMPTOM,COVID
UNG THƯ,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,SUY TIM
NGỨA,HAS_SYMPTOM,NỔI MÀY ĐAY
KHÓ THỞ,HAS_SYMPTOM,ĐAU
MẨN NGỨA,HAS_SYMPTOM,BỊ BỆNH MÀY ĐAY
TIỀN ĐÌNH,HAS_SYMPTOM,HOA MẮT
MẮC BỆNH,HAS_SYMPTOM,COVID
BỆNH LÝ NỀN,HAS_SYMPTOM,BỆNH VIÊM HỌNG
CHÀM DA,HAS_SYMPTOM,HEN
MÃN TÍNH,HAS_SYMPTOM,MỠ MÁU
ĐAU,HAS_SYMPTOM,"ĐAU, NHỨC"
TRẦM CẢM,HAS_SYMPTOM,MẤT NGỦ
MỠ MÁU,HAS_SYMPTOM,CHOLESTEROL
VIÊM,HAS_SYMPTOM,VIÊM AMIDAN
BỆNH LÝ,HAS_SYMPTOM,SUYỄN
SUYỄN,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
ĐAU,HAS_SYMPTOM,BỆNH LÝ
HUYẾT ÁP,HAS_SYMPTOM,CĂNG CƠ
HEN,HAS_SYMPTOM,NỔI MÀY ĐAY
ĐÁI THÁO ĐƯỜNG,HAS_SYMPTOM,BIẾN CHỨNG
MỆT MỎI,HAS_SYMPTOM,COVID
VIÊM PHẾ QUẢN,HAS_SYMPTOM,THỞ KHÒ KHÈ
BỊ BỆNH,HAS_SYMPTOM,COVID
BỆNH NỀN,HAS_SYMPTOM,THIẾU MÁU CỤC BỘ
THIẾU MÁU,HAS_SYMPTOM,COVID
HEN,HAS_SYMPTOM,COVID
HEN PHẾ QUẢN,HAS_SYMPTOM,MÃN TÍNH
LAO PHỔI,HAS_SYMPTOM,MÃN TÍNH
RỐI LOẠN TIỀN ĐÌNH,HAS_SYMPTOM,COVID
BỊ BỆNH NỀN,HAS_SYMPTOM,MÃN TÍNH
MỆT LẢ,HAS_SYMPTOM,XUẤT HUYẾT DA DẠNG CHẤM
XUẤT HUYẾT DA DẠNG CHẤM,HAS_SYMPTOM,CHẢY MÁU CAM
BẨM SINH,HAS_SYMPTOM,SUY GIẢM MIỄN DỊCH
NÓNG,HAS_SYMPTOM,COVID
CO GIẬT,HAS_SYMPTOM,COVID
BỊ BỆNH VẢY NẾN,HAS_SYMPTOM,BỊ BỆNH VẢY NẾN
NHỒI MÁU CƠ TIM,HAS_SYMPTOM,TAI BIẾN MẠCH MÁU NÃO
CẢM CÚM,HAS_SYMPTOM,COVID
SIÊU VI B,HAS_SYMPTOM,VIRURS
BỆNH NỀN,HAS_SYMPTOM,CAO HUYẾT ÁP
MÃN TÍNH,HAS_SYMPTOM,ĐAU NHÓI
CHÓNG MẶT,HAS_SYMPTOM,COVID
THOÁI HÓA CỘT SỐNG,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,BUỒN NÔN
MÃN TÍNH,HAS_SYMPTOM,HO RA MÁU
MỠ ĐỘ 2,HAS_SYMPTOM,MEN GAN
ĐÁI THÁO ĐƯỜNG,HAS_SYMPTOM,BỆNH LÝ
BỆNH NỀN,HAS_SYMPTOM,HEN
BỆNH NỀN,HAS_SYMPTOM,SUYỄN
SIÊU VI B,HAS_SYMPTOM,CĂNG
HUYẾT ÁP,HAS_SYMPTOM,GOUT
BỊ BỆNH,HAS_SYMPTOM,SUY GIẢM TIỂU CẦU
ĐAU,HAS_SYMPTOM,ĐI NGOÀI THẤT THƯỜNG
BỆNH LÝ,HAS_SYMPTOM,SỔ MŨI
MẨN ĐỎ,HAS_SYMPTOM,NGỨA NHẸ
SỎI NIỆU QUẢN,HAS_SYMPTOM,BIẾN CHỨNG
DỊ ỨNG,HAS_SYMPTOM,NGỨA TOÀN THÂN
VIÊM DA CƠ ĐỊA,HAS_SYMPTOM,HUYẾT ÁP
BỆNH VIÊM GAN B,HAS_SYMPTOM,THOÁI HÓA KHỚP
VIÊM KHỚP,HAS_SYMPTOM,COVID
VIRUS VIÊM GAN B,HAS_SYMPTOM,TIỀN ĐÌNH
HEMOPHILIA A,HAS_SYMPTOM,VIÊM GAN
NỔI MẨN ĐỎ,HAS_SYMPTOM,RÔM SẢY
NHIỄM MỠ,HAS_SYMPTOM,COVID
VIÊM XOANG,HAS_SYMPTOM,COVID
TĂNG HUYẾT ÁP,HAS_SYMPTOM,BỆNH LÝ
SỔ MŨI,HAS_SYMPTOM,COVID
XƠ VỮA,HAS_SYMPTOM,COVID
TIỂU ĐƯỜNG,HAS_SYMPTOM,RỐI LOẠN NHỊP
CHÀM DA,HAS_SYMPTOM,COVID
DI TRUYỀN,HAS_SYMPTOM,TRIỆU CHỨNG
BỆNH LÝ,HAS_SYMPTOM,RỐI LOẠN TIỀN ĐÌNH
TÊ TAY,HAS_SYMPTOM,BẨM SINH
GOUT,HAS_SYMPTOM,MỠ MÁU
CƯỜNG GIÁP,HAS_SYMPTOM,TRIỆU CHỨNG
TIỂU ĐƯỜNG,HAS_SYMPTOM,CAO HUYẾT ÁP
ĐỘNG KINH,HAS_SYMPTOM,BỆNH NỀN
BỆNH NỀN,HAS_SYMPTOM,VIÊM GAN C
LUPUS,HAS_SYMPTOM,TĂNG HUYẾT ÁP
RÔM SẢY,HAS_SYMPTOM,KHÓ THỞ
BỆNH LÝ,HAS_SYMPTOM,THOÁI HOÁ ĐỐT
CO GIẬT BỦN RỦN,HAS_SYMPTOM,DỊ ỨNG
CO GIẬT BỦN RỦN,HAS_SYMPTOM,BỦN RỦN
VIÊM ĐẠI TRÀNG,HAS_SYMPTOM,HỘI CHỨNG STEVEN-JOHNSON
THALASSEMIA,HAS_SYMPTOM,COVID
ĐAU NHÓI,HAS_SYMPTOM,BỆNH LÝ
MỠ MÁU,HAS_SYMPTOM,CAO HUYẾT ÁP
NGẠT MŨI,HAS_SYMPTOM,COVID
VIÊM,HAS_SYMPTOM,XUNG HUYẾT
CAO HUYẾT ÁP,HAS_SYMPTOM,CỤC BỘ
BỆNH LÝ NỀN,HAS_SYMPTOM,PARKINSON
MỀ ĐAY,HAS_SYMPTOM,COVID
BIẾN CHỨNG,HAS_SYMPTOM,COVID
RA MỒ HÔI LẠNH,HAS_SYMPTOM,HUYẾT ÁP
PHÙ,HAS_SYMPTOM,COVID
QUAI BỊ,HAS_SYMPTOM,ĐAU MẮT ĐỎ
SỎI MẬT,HAS_SYMPTOM,COVID
GAN NHIỄM MỠ,HAS_SYMPTOM,COVID
VIÊM,HAS_SYMPTOM,GAI ĐÔI CỘT SỐNG
NHỊP TIM CHẬM PHẢN XẠ,HAS_SYMPTOM,BỊ BỆNH NỀN
KHÓ THỞ,HAS_SYMPTOM,COVID
ĐAU,HAS_SYMPTOM,MÃN TÍNH
ĐAU HỌNG,HAS_SYMPTOM,COVID
VIÊM PHẾ QUẢN,HAS_SYMPTOM,COVID
BỆNH LÝ HỞ,HAS_SYMPTOM,COVID
HUYẾT ÁP,HAS_SYMPTOM,DI TRUYỀN
TYPE 2,HAS_SYMPTOM,COVID
MỀ ĐAY,HAS_SYMPTOM,MÃN TÍNH
SỔ MŨI,HAS_SYMPTOM,TRIỆU CHỨNG
BỆNH VIÊM CỘT SỐNG DÍNH KHỚP,HAS_SYMPTOM,THOÁT VỊ ĐĨA ĐỆM
HUYẾT ÁP,HAS_SYMPTOM,HỘI CHỨNG WOLFF
NGỘ ĐỘC,HAS_SYMPTOM,COPD
HEN,HAS_SYMPTOM,MẤT NGỦ
CẢM LẠNH,HAS_SYMPTOM,SUNG HUYẾT
CẢM LẠNH,HAS_SYMPTOM,VIÊM MŨI
TRIỆU CHỨNG,HAS_SYMPTOM,MỆT MỎI
CAO HUYẾT ÁP,HAS_SYMPTOM,HUYẾT ÁP
VIÊM GAN B,HAS_SYMPTOM,TÁC DỤNG PHỤ
VIÊM DA CƠ ĐỊA,HAS_SYMPTOM,THIẾU MÁU
BỆNH TRUYỀN NHIỄM,HAS_SYMPTOM,COVID
VIÊM XOANG,HAS_SYMPTOM,VIÊM GAN B
TRIỆU CHỨNG,HAS_SYMPTOM,NÓNG
CẢM CÚM,HAS_SYMPTOM,NÓNG
TRIỆU CHỨNG,HAS_SYMPTOM,MẨN ĐỎ
NỔI MỀ ĐAY,HAS_SYMPTOM,HỘI CHỨNG STEVEN-JOHNSON
THOÁI HOÁ ĐỐT,HAS_SYMPTOM,THOÁI HÓA HOÀNG ĐIỂM
BƯỚU GIÁP,HAS_SYMPTOM,TRIỆU CHỨNG
NỔI SẦN,HAS_SYMPTOM,BIẾN CHỨNG
TRIỆU CHỨNG,HAS_SYMPTOM,Ợ CHUA
AMIDAN,HAS_SYMPTOM,TRÀO NGƯỢC DẠ DÀY
BỆNH VẢY NẾN,HAS_SYMPTOM,VIÊM
HEN PHẾ QUẢN,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,KÝ SINH TRÙNG
NHIỄM ĐỘC,HAS_SYMPTOM,HỒNG BAN
HUYẾT ÁP,HAS_SYMPTOM,KHÓ THỞ
DỊ ỨNG,HAS_SYMPTOM,HUYẾT ÁP
VẢY NẾN,HAS_SYMPTOM,BỆNH NỀN
VIÊM XOANG,HAS_SYMPTOM,MÃN TÍNH
THOÁT VỊ ĐĨA ĐỆM,HAS_SYMPTOM,HẸP LỖ LIÊN HỢP
BỊ BỆNH,HAS_SYMPTOM,SỐT XUẤT HUYẾT
BỆNH NỀN,HAS_SYMPTOM,HUYẾT ÁP
TRIỆU CHỨNG,HAS_SYMPTOM,MÃN TÍNH
TRIỆU CHỨNG,HAS_SYMPTOM,BỆNH LÝ
MEN GAN,HAS_SYMPTOM,COVID
TRIỆU CHỨNG,HAS_SYMPTOM,NỔI MỀ ĐAY
SỐT,HAS_SYMPTOM,ĐI TIỂU
DỊ ỨNG,HAS_SYMPTOM,CẢM CÚM
SUY GIẢM MIỄN DỊCH,HAS_SYMPTOM,COVID
VIÊM GAN,HAS_SYMPTOM,COVID
SỐT,HAS_SYMPTOM,DA TẤY ĐỎ
SỐT,HAS_SYMPTOM,PHÙ MẠCH
UNG THƯ,HAS_SYMPTOM,RỐI LOẠN THẦN KINH TIM
HEN,HAS_SYMPTOM,MÃN TÍNH
ĐAU,HAS_SYMPTOM,NỔI MÀY ĐAY
ĐAU,HAS_SYMPTOM,NHẸ ĐẦU
DI ỨNG,HAS_SYMPTOM,NỔI MỀ ĐAY
DI ỨNG,HAS_SYMPTOM,ĐAU TỨC NGỰC
PHẾ QUẢN,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
XƠ GAN,HAS_SYMPTOM,COVID
NGỨA NGÁY,HAS_SYMPTOM,TRIỆU CHỨNG
SỐT,HAS_SYMPTOM,ĐAU NGƯỜI
BÉO PHÌ,HAS_SYMPTOM,COVID
MÃN TÍNH,HAS_SYMPTOM,TĂNG HUYẾT ÁP
NHỨC ĐẦU,HAS_SYMPTOM,KHÔNG CẢM XÚC
RỐI LOẠN NHỊP,HAS_SYMPTOM,MÃN TÍNH
SỞI,HAS_SYMPTOM,RUBELLA
HOA MẮT,HAS_SYMPTOM,TRIỆU CHỨNG
HOA MẮT,HAS_SYMPTOM,THIẾU MÁU NÃO
MÃN TÍNH,HAS_SYMPTOM,VIÊM
TRIỆU CHỨNG,HAS_SYMPTOM,DA TẤY ĐỎ
TĂNG ĐÔNG MÁU,HAS_SYMPTOM,DI TRUYỀN
VIÊM MŨI,HAS_SYMPTOM,COVID
VIÊM NGỨA,HAS_SYMPTOM,NGỨA
NHIỄM KHUẨN,HAS_SYMPTOM,VI KHUẨN
CHỨNG TẬT KHÚC XẠ,HAS_SYMPTOM,CẬN THỊ
VIÊM,HAS_SYMPTOM,TRÀO NGƯỢC DẠ DÀY
BỆNH LÝ,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
DỊ ỨNG,HAS_SYMPTOM,VIÊM TAI GIỮA
BỊ BỆNH,HAS_SYMPTOM,GOUT
LAO PHỔI,HAS_SYMPTOM,KHÓ TIÊU
LAO PHỔI,HAS_SYMPTOM,MỆT MỎI
VIÊM GAN B,HAS_SYMPTOM,XƠ GAN
CHÀM,HAS_SYMPTOM,VIÊM MŨI DỊ ỨNG
THẤP KHỚP,HAS_SYMPTOM,MÃN TÍNH
DỊ ỨNG,HAS_SYMPTOM,NỔI MẬN ĐỎ
BỆNH LÝ NỀN,HAS_SYMPTOM,GOUT
BỆNH XƯƠNG KHỚP,HAS_SYMPTOM,COVID
DỊ ỨNG,HAS_SYMPTOM,VIÊM DA CƠ ĐỊA
ĐAU BỤNG,HAS_SYMPTOM,SUYỄN
NỔI HẠCH,HAS_SYMPTOM,COVID
TIỂU ĐƯỜNG,HAS_SYMPTOM,TĂNG HUYẾT ÁP
NHIỄM KHUẨN,HAS_SYMPTOM,VIRURS
MỆT MỎI,HAS_SYMPTOM,MỀ ĐAY
TRIỆU CHỨNG,HAS_SYMPTOM,PHÙ NIÊM
NỨT XƯƠNG,HAS_SYMPTOM,COVID
BỆNH LÝ NỀN,HAS_SYMPTOM,HUYẾT ÁP
VIÊM MŨI,HAS_SYMPTOM,VIÊM TAI GIỮA
VIRUS B,HAS_SYMPTOM,COVID
DENGUE,HAS_SYMPTOM,COVID
LAO PHỔI,HAS_SYMPTOM,TÁI PHÁT
TRIỆU CHỨNG,HAS_SYMPTOM,CHẢY NƯỚC MŨI
THOÁI HÓA ĐA KHỚP,HAS_SYMPTOM,TAN MÁU
SUYỄN,HAS_SYMPTOM,COVID
CỨNG CỔ,HAS_SYMPTOM,COVID
ĐAU,HAS_SYMPTOM,TRÀN DỊCH
ĐAU,HAS_SYMPTOM,LAO MÀNG PHỔI
SỐT,HAS_SYMPTOM,ĐAU
HẮT HƠI,HAS_SYMPTOM,COVID
THỪA CÂN,HAS_SYMPTOM,COVID
VIÊM ĐA KHỚP DẠNG THẤP,HAS_SYMPTOM,DỊ ỨNG
SỐT XUẤT HUYẾT,HAS_SYMPTOM,VIRURS
VIRURS,HAS_SYMPTOM,BỘI NHIỄM PHỔI
BỆNH LÝ NỀN,HAS_SYMPTOM,BỊ BỆNH
BỆNH LÝ NỀN,HAS_SYMPTOM,VIÊM DA DẦU
MÃN TÍNH,HAS_SYMPTOM,BỊ BỆNH
TRIỆU CHỨNG,HAS_SYMPTOM,"ĐAU, NHỨC"
BỆNH LÝ NỀN,HAS_SYMPTOM,DỊ ỨNG
TIỂU SÓN,HAS_SYMPTOM,NẶNG MÙI
BỆNH NỀN,HAS_SYMPTOM,TIỂU ĐƯỜNG
BỆNH NỀN,HAS_SYMPTOM,NỔI MẨN
BỆNH NỀN,HAS_SYMPTOM,ĐAU BỤNG
DỊ ỨNG DA,HAS_SYMPTOM,TỨC NGỰC
SỐT XUẤT HUYẾT,HAS_SYMPTOM,COVID
BỆNH LÝ,HAS_SYMPTOM,"KHÔ, NGỨA"
BỆNH LÝ NỀN,HAS_SYMPTOM,VIÊM GAN B
ĐAU,HAS_SYMPTOM,VIÊM PHẾ QUẢN
VIÊM PHẾ QUẢN,HAS_SYMPTOM,MÃN TÍNH
TRIỆU CHỨNG,HAS_SYMPTOM,CHÓNG MẶT
MẤT NGỦ,HAS_SYMPTOM,AMIDAN
VIÊM,HAS_SYMPTOM,AMIDAN
ĐAU NHỨC ĐẦU,HAS_SYMPTOM,RỐI LOẠN GIẤC NGỦ
KHÓ THỞ,HAS_SYMPTOM,DỊ ỨNG
DỊ ỨNG,HAS_SYMPTOM,KHÓ THỞ
BỆNH VIÊM HỌNG,HAS_SYMPTOM,MÃN TÍNH
